time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
9.756,26339,0.055075,0.078591,0.043161,0.134822,0.989929,0.997036,-0.066906,0.02364,0.029727,-0.01018,0.055075,0.055075,0.055075,9.93885,9.93885,2,concentric,0.0,9.756,10.224,0.468,0.563411,9.907,0.019
9.771,26354,0.317118,0.299156,0.044076,0.134001,0.990001,0.997058,-0.066484,0.024075,0.029576,-0.006944,0.317118,0.317118,0.317118,13.539765,13.539765,2,concentric,0.032051,9.756,10.224,0.468,0.563411,9.907,0.015
9.803,26386,0.482118,0.462347,0.04423,0.130454,0.990467,0.997182,-0.064703,0.024082,0.029349,-0.012605,0.482118,0.482118,0.482118,2.182536,2.182536,2,concentric,0.100427,9.756,10.224,0.468,0.563411,9.907,0.032
9.819,26402,0.493248,0.487476,0.044123,0.128332,0.990749,0.997256,-0.063639,0.023988,0.029237,-0.018032,0.493248,0.493248,0.493248,0.408389,0.408389,2,concentric,0.134615,9.756,10.224,0.468,0.563411,9.907,0.016
9.836,26419,0.495002,0.463737,0.043845,0.125797,0.991087,0.997345,-0.062372,0.0238,0.029094,-0.022987,0.495002,0.495002,0.495002,-0.124588,-0.124588,2,concentric,0.17094,9.756,10.224,0.468,0.563411,9.907,0.017
9.874,26457,0.470924,0.472729,0.042768,0.118211,0.992067,0.997605,-0.058585,0.023114,0.028588,-0.041498,0.470924,0.470924,0.470924,2.420407,2.420407,2,concentric,0.252137,9.756,10.224,0.468,0.563411,9.907,0.038
9.89,26473,0.530225,0.538719,0.042364,0.114713,0.992495,0.997719,-0.056838,0.022846,0.02837,-0.049382,0.530225,0.530225,0.530225,2.855784,2.855784,2,concentric,0.286325,9.756,10.224,0.468,0.563411,9.907,0.016
9.907,26490,0.563411,0.547192,0.041682,0.110332,0.99302,0.997856,-0.054651,0.022429,0.028175,-0.069147,0.563411,0.563411,0.563411,0.472895,0.472895,2,concentric,0.32265,9.756,10.224,0.468,0.563411,9.907,0.017
9.923,26506,0.548702,0.527211,0.04081,0.105736,0.993556,0.997995,-0.052359,0.021915,0.02801,-0.086734,0.548702,0.548702,0.548702,-1.352053,-1.352053,2,concentric,0.356838,9.756,10.224,0.468,0.563411,9.907,0.016
9.94,26523,0.5179,0.522416,0.039942,0.100728,0.994112,0.99814,-0.049862,0.021396,0.027787,-0.090675,0.5179,0.5179,0.5179,-0.721115,-0.721115,2,concentric,0.393162,9.756,10.224,0.468,0.563411,9.907,0.017
9.957,26540,0.524184,0.522842,0.039074,0.095663,0.994647,0.998281,-0.047338,0.020876,0.027527,-0.09261,0.524184,0.524184,0.524184,0.082939,0.082939,2,concentric,0.429487,9.756,10.224,0.468,0.563411,9.907,0.017
9.993,26576,0.505314,0.522272,0.037231,0.084817,0.995701,0.99856,-0.041935,0.019776,0.026994,-0.094514,0.505314,0.505314,0.505314,0.973063,0.973063,2,concentric,0.50641,9.756,10.224,0.468,0.563411,9.907,0.036
10.009,26592,0.53153,0.527972,0.03644,0.080029,0.996126,0.998672,-0.03955,0.019304,0.026773,-0.09294,0.53153,0.53153,0.53153,0.125998,0.125998,2,concentric,0.540598,9.756,10.224,0.468,0.563411,9.907,0.016
10.026,26609,0.506352,0.502056,0.035327,0.075216,0.996541,0.998782,-0.037157,0.018673,0.026564,-0.085205,0.506352,0.506352,0.506352,-3.414427,-3.414427,2,concentric,0.576923,9.756,10.224,0.468,0.563411,9.907,0.017
10.043,26626,0.415439,0.442564,0.034184,0.070906,0.996897,0.998878,-0.035018,0.018033,0.026306,-0.069382,0.415439,0.415439,0.415439,-3.744353,-3.744353,2,concentric,0.613248,9.756,10.224,0.468,0.563411,9.907,0.017
