time_s,tMillis,raw_vertical_accel,vertical_accel,gravity_x,gravity_y,gravity_z,quat_w,quat_x,quat_y,quat_z,centripetal_accel,value,original_value,smoothed,derivative,smoothed_derivative,rep_number,phase,phase_progress,phase_start_time,phase_end_time,phase_duration,peak_acceleration,peak_time,delta_time
0.000000,8731,-1.000000,-0.958301,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,-1.000000,48.398411,48.398411,0,rest,0.000000,,,,,,
0.021000,8752,0.016367,0.020947,0.001477,0.000672,0.999999,1.000000,-0.000336,0.000738,0.000056,-0.000196,0.016367,0.016367,0.016367,21.431125,21.431125,0,rest,0.000000,,,,,,0.021000
0.036000,8767,0.048898,0.074094,0.002920,0.001419,0.999995,0.999999,-0.000709,0.001460,0.000096,-0.000196,0.048898,0.048898,0.048898,1.195973,1.195973,0,rest,0.000000,,,,,,0.015000
0.053000,8784,0.050487,0.025491,0.002866,0.001183,0.999995,0.999999,-0.000592,0.001433,0.000141,-0.000202,0.050487,0.050487,0.050487,-0.941117,-0.941117,0,rest,0.000000,,,,,,0.017000
0.074000,8805,0.003885,0.008799,0.004188,0.001778,0.999990,0.999997,-0.000889,0.002094,0.000186,-0.000196,0.003885,0.003885,0.003885,-0.553209,-0.553209,0,rest,0.000000,,,,,,0.021000
0.094000,8825,0.024553,0.019980,0.005344,0.002451,0.999983,0.999996,-0.001225,0.002672,0.000250,-0.000195,0.024553,0.024553,0.024553,0.595103,0.595103,0,rest,0.000000,,,,,,0.020000
0.111000,8842,0.028337,0.005847,0.006700,0.003043,0.999973,0.999993,-0.001520,0.003350,0.000296,-0.000240,0.028337,0.028337,0.028337,0.063921,0.063921,0,rest,0.000000,,,,,,0.017000
0.130000,8861,0.026182,0.034066,0.007883,0.003524,0.999963,0.999991,-0.001761,0.003942,0.000356,-0.000264,0.026182,0.026182,0.026182,-0.059183,-0.059183,0,rest,0.000000,,,,,,0.019000
0.154000,8885,0.026405,0.039318,0.008939,0.003936,0.999952,0.999988,-0.001966,0.004471,0.000433,-0.000225,0.026405,0.026405,0.026405,-0.061385,-0.061385,0,rest,0.000000,,,,,,0.024000
0.171000,8902,0.024511,0.038356,0.010055,0.004505,0.999939,0.999985,-0.002250,0.005029,0.000487,-0.000225,0.024511,0.024511,0.024511,0.124603,0.124603,0,rest,0.000000,,,,,,0.017000
0.188000,8919,0.030642,0.034852,0.011105,0.005010,0.999926,0.999981,-0.002502,0.005554,0.000533,-0.000225,0.030642,0.030642,0.030642,0.046929,0.046929,0,rest,0.000000,,,,,,0.017000
0.204000,8935,0.026668,0.023512,0.012111,0.005444,0.999912,0.999978,-0.002719,0.006057,0.000576,-0.000258,0.026668,0.026668,0.026668,-0.140596,-0.140596,0,rest,0.000000,,,,,,0.016000
0.222000,8953,0.026319,0.020076,0.012956,0.005832,0.999899,0.999975,-0.002912,0.006480,0.000624,-0.000272,0.026319,0.026319,0.026319,-0.085247,-0.085247,0,rest,0.000000,,,,,,0.018000
0.240000,8971,0.023599,0.024947,0.013757,0.006174,0.999886,0.999971,-0.003083,0.006881,0.000662,-0.000231,0.023599,0.023599,0.023599,-0.005518,-0.005518,0,rest,0.000000,,,,,,0.018000
0.258000,8989,0.026121,0.023216,0.014615,0.006556,0.999872,0.999968,-0.003273,0.007310,0.000710,-0.000257,0.026121,0.026121,0.026121,0.173125,0.173125,0,rest,0.000000,,,,,,0.018000
0.282000,9013,0.031333,0.017752,0.015363,0.006780,0.999859,0.999964,-0.003384,0.007685,0.000786,-0.000335,0.031333,0.031333,0.031333,-0.062338,-0.062338,0,rest,0.000000,,,,,,0.024000
0.299000,9030,0.026908,0.017206,0.016072,0.007129,0.999845,0.999961,-0.003558,0.008039,0.000832,-0.000298,0.026908,0.026908,0.026908,-0.147508,-0.147508,0,rest,0.000000,,,,,,0.017000
0.316000,9047,0.026318,0.019936,0.016735,0.007443,0.999832,0.999958,-0.003714,0.008371,0.000877,-0.000306,0.026318,0.026318,0.026318,-0.128425,-0.128425,0,rest,0.000000,,,,,,0.017000
0.335000,9066,0.021887,0.020954,0.017419,0.007684,0.999819,0.999954,-0.003834,0.008714,0.000917,-0.000258,0.021887,0.021887,0.021887,0.024119,0.024119,0,rest,0.000000,,,,,,0.019000
0.355000,9086,0.027787,0.021372,0.017997,0.007909,0.999807,0.999951,-0.003946,0.009003,0.000960,-0.000298,0.027787,0.027787,0.027787,0.179657,0.179657,0,rest,0.000000,,,,,,0.020000
0.375000,9106,0.029074,0.023401,0.018577,0.008059,0.999795,0.999948,-0.004020,0.009293,0.001023,-0.000342,0.029074,0.029074,0.029074,-0.110557,-0.110557,0,rest,0.000000,,,,,,0.020000
0.394000,9125,0.023816,0.026428,0.019188,0.008237,0.999782,0.999945,-0.004108,0.009599,0.001074,-0.000305,0.023816,0.023816,0.023816,-0.136586,-0.136586,0,rest,0.000000,,,,,,0.019000
0.417000,9148,0.024576,0.027769,0.019727,0.008370,0.999770,0.999942,-0.004174,0.009869,0.001134,-0.000335,0.024576,0.024576,0.024576,0.086420,0.086420,0,rest,0.000000,,,,,,0.023000
0.433000,9164,0.026553,0.027469,0.020287,0.008628,0.999757,0.999939,-0.004302,0.010149,0.001169,-0.000335,0.026553,0.026553,0.026553,0.096541,0.096541,0,rest,0.000000,,,,,,0.016000
0.448000,9179,0.027621,0.026600,0.020837,0.008857,0.999744,0.999935,-0.004416,0.010425,0.001209,-0.000297,0.027621,0.027621,0.027621,0.058122,0.058122,0,rest,0.000000,,,,,,0.015000
0.465000,9196,0.028357,0.024518,0.021360,0.009011,0.999731,0.999932,-0.004492,0.010686,0.001263,-0.000296,0.028357,0.028357,0.028357,0.070980,0.070980,0,rest,0.000000,,,,,,0.017000
0.484000,9215,0.030294,0.024295,0.021817,0.009077,0.999721,0.999929,-0.004524,0.010915,0.001313,-0.000297,0.030294,0.030294,0.030294,-0.087254,-0.087254,0,rest,0.000000,,,,,,0.019000
0.503000,9234,0.025041,0.026184,0.022187,0.009185,0.999712,0.999927,-0.004577,0.011100,0.001373,-0.000304,0.025041,0.025041,0.025041,-0.097893,-0.097893,0,rest,0.000000,,,,,,0.019000
0.524000,9255,0.027130,0.028170,0.022539,0.009277,0.999703,0.999925,-0.004622,0.011277,0.001440,-0.000304,0.027130,0.027130,0.027130,0.067629,0.067629,0,rest,0.000000,,,,,,0.021000
0.545000,9276,0.027882,0.031024,0.022926,0.009310,0.999694,0.999922,-0.004638,0.011471,0.001484,-0.000306,0.027882,0.027882,0.027882,-0.111088,-0.111088,0,rest,0.000000,,,,,,0.021000
0.562000,9293,0.023972,0.032449,0.023303,0.009392,0.999684,0.999920,-0.004679,0.011660,0.001520,-0.000306,0.023972,0.023972,0.023972,-0.007670,-0.007670,0,rest,0.000000,,,,,,0.017000
0.579000,9310,0.027621,0.032093,0.023603,0.009526,0.999676,0.999918,-0.004745,0.011810,0.001565,-0.000305,0.027621,0.027621,0.027621,0.087360,0.087360,0,rest,0.000000,,,,,,0.017000
0.599000,9330,0.026373,0.031672,0.023951,0.009555,0.999667,0.999916,-0.004759,0.011984,0.001618,-0.000262,0.026373,0.026373,0.026373,-0.065496,-0.065496,0,rest,0.000000,,,,,,0.020000
0.617000,9348,0.025144,0.030552,0.024266,0.009620,0.999659,0.999913,-0.004790,0.012142,0.001675,-0.000261,0.025144,0.025144,0.025144,-0.044645,-0.044645,0,rest,0.000000,,,,,,0.018000
0.637000,9368,0.024776,0.029704,0.024536,0.009687,0.999652,0.999912,-0.004823,0.012278,0.001728,-0.000262,0.024776,0.024776,0.024776,0.063543,0.063543,0,rest,0.000000,,,,,,0.020000
