Timestamp,VerticalAccel_g
1738121271.2937307,-0.3062
1738121271.3122003,-0.2388
1738121271.3313715,0.2397
1738121271.3500621,-0.1899
1738121271.3691602,-0.2985
1738121271.3873472,-0.155
1738121271.406853,0.0074
1738121271.4255514,0.055
1738121271.4444034,-0.1139
1738121271.4812388,-0.2167
1738121271.482751,-0.0223
1738121271.5004792,-0.0621
1738121271.519463,0.0409
1738121271.537847,-0.085
1738121271.5570347,-0.0616
1738121271.5755436,0.0262
1738121271.5943816,0.0116
1738121271.6115246,0.003
1738121271.631947,-0.0436
1738121271.6507618,-0.0786
1738121271.6695018,0.0146
1738121271.6882446,0.1173
1738121271.7066965,-0.0371
1738121271.725731,-0.0399
1738121271.7442315,-0.0656
1738121271.7621684,0.0052
1738121271.781981,0.0542
1738121271.8008842,-0.0836
1738121271.819267,-0.0184
1738121271.8383193,-0.0262
1738121271.856255,-0.0998
1738121271.875787,-0.1066
1738121271.8943605,-0.3282
1738121271.911683,-0.5337
1738121271.9506886,-0.7754
1738121271.952319,-1.0311
1738121271.9692917,-1.5248
1738121271.988087,-1.8745
1738121272.0062582,-2.3802
1738121272.0251002,-2.6367
1738121272.0432396,-2.6618
1738121272.0631723,-2.6962
1738121272.0818875,-2.623
1738121272.1008215,-2.011
1738121272.119545,-1.0268
1738121272.137417,-0.4534
1738121272.156008,-0.3817
1738121272.1755877,0.4325
1738121272.1944158,0.0291
1738121272.2129192,0.408
1738121272.2309747,0.3222
1738121272.2495663,0.0887
1738121272.2687297,0.1086
1738121272.2706892,-0.454
1738121272.3060215,-0.6501
1738121272.3249872,-1.1924
1738121272.3629358,-1.6965
1738121272.3644462,-2.4017
1738121272.366457,-3.0139
1738121272.4002242,-3.8022
1738121272.419235,-4.6585
1738121272.437685,-5.2712
1738121272.4555695,-6.163
1738121272.4751327,-6.8066
1738121272.4950018,-7.4855
1738121272.5116458,-8.1921
1738121272.5311794,-8.6773
1738121272.5506742,-9.8359
1738121272.5691032,-10.5378
1738121272.5871224,-11.0753
1738121272.6362112,-11.4559
1738121272.6382358,-12.6663
1738121272.64022,-12.9381
1738121272.6970253,-13.2717
1738121272.6980238,-14.3077
1738121272.700026,-14.4706
1738121272.7570355,-14.6583
1738121272.7590263,-15.6109
1738121272.7603846,-15.9476
1738121272.8164449,-16.6693
1738121272.8184738,-16.7374
1738121272.820479,-17.2335
1738121272.87647,-17.6474
1738121272.8784676,-18.1006
1738121272.879505,-18.4375
1738121272.9365687,-19.0705
1738121272.9376822,-19.531
1738121272.9396822,-19.8848
1738121272.996093,-20.9061
1738121273.05697,-21.3321
1738121273.0589626,-21.789
1738121273.0599573,-21.8371
1738121273.1162276,-22.4312
1738121273.1182363,-22.0925
1738121273.1202414,-22.2371
1738121273.1761901,-21.9181
1738121273.1782308,-21.77
1738121273.1801884,-21.5283
1738121273.2359545,-21.0812
1738121273.237962,-20.7187
1738121273.2390008,-20.4493
1738121273.2968566,-18.9878
1738121273.2988505,-18.7176
1738121273.3008523,-17.8504
1738121273.3569682,-16.7955
1738121273.3599718,-16.1759
1738121273.361962,-15.3482
1738121273.416319,-13.6307
1738121273.417321,-12.1715
1738121273.4193208,-12.2869
1738121273.4759822,-11.1263
1738121273.47798,-9.7482
1738121273.4789777,-9.0087
1738121273.5370111,-4.5564
1738121273.5380068,-9.0894
1738121273.5400066,-5.5806
1738121273.5965343,-2.7369
1738121273.5975335,-8.4385
1738121273.5995364,-16.1446
1738121273.6562178,-38.3512
1738121273.6582167,-42.3764
1738121273.6602538,-57.3839
1738121273.7166998,-68.7633
1738121273.7196538,-75.91
1738121273.7216542,-76.5736
1738121273.7231662,-79.455
1738121273.8368392,-81.101
1738121273.8388247,-82.7964
1738121273.8408263,-81.5004
1738121273.8961818,-71.4208
1738121273.8981428,-67.1971
1738121273.8991451,-63.1381
1738121273.9562142,-51.2744
1738121273.9582152,-46.221
1738121273.9602187,-44.5418
1738121274.016041,-39.3053
1738121274.0180702,-33.8723
1738121274.0200496,-32.8364
1738121274.0769541,-32.2132
1738121274.0779707,-26.0631
1738121274.079933,-23.6818
1738121274.1366048,-19.1337
1738121274.1375647,-16.7772
1738121274.1395636,-13.0727
1738121274.1966476,-10.4599
1738121274.1976473,-8.4305
1738121274.1996446,-6.2504
1738121274.2565432,-5.0792
1738121274.2585413,-3.7867
1738121274.260549,-2.6938
1738121274.3171062,-2.2061
1738121274.3181045,-1.7134
1738121274.3201036,-1.2356
1738121274.3764594,-0.4373
1738121274.3774583,-0.2367
1738121274.37946,-0.0302
1738121274.436213,-0.1176
1738121274.438176,-0.1872
1738121274.4401782,-0.2011
1738121274.4964032,-0.3938
1738121274.4984026,-0.5666
1738121274.499402,-0.9906
1738121274.5561764,-1.1246
1738121274.5581892,-1.398
1738121274.5602124,-1.6904
1738121274.61586,-1.575
1738121274.6178696,-1.895
1738121274.6198888,-1.707
1738121274.6758199,-1.4463
1738121274.677821,-1.6107
1738121274.6798217,-1.6156
1738121274.735908,-1.5115
1738121274.7389174,-1.3766
1738121274.7409077,-1.5096
1738121274.7964935,-1.5407
1738121274.7984521,-1.3492
1738121274.8568676,-1.0228
1738121274.857864,-0.9102
1738121274.8598864,-0.7066
1738121274.861693,-0.549
1738121274.9161868,-0.2957
1738121274.918184,-0.2024
1738121274.9191887,-0.3638
1738121274.9759023,-0.8574
1738121274.9779065,-1.4075
1738121274.9799333,-1.6667
1738121275.0358417,-2.3587
1738121275.037845,-3.3842
1738121275.0398593,-4.296
1738121275.0958323,-4.989
1738121275.09783,-5.658
1738121275.0998304,-5.9531
1738121275.156183,-7.1
1738121275.1581938,-7.7546
1738121275.1591923,-7.5817
1738121275.216345,-7.3951
1738121275.2183366,-6.4808
1738121275.2193775,-6.2437
1738121275.2761948,-5.5883
1738121275.2782345,-4.8325
1738121275.27976,-4.626
1738121275.336971,-3.5166
1738121275.3379924,-3.0632
1738121275.3399537,-2.3697
1738121275.395805,-2.2387
1738121275.3978076,-1.4048
1738121275.399807,-1.379
1738121275.4564111,-0.9844
1738121275.4574065,-0.7065
1738121275.4594085,-0.3875
1738121275.5159283,-0.2507
1738121275.517937,-0.1246
1738121275.5199416,-0.0098
1738121275.576721,-0.0266
1738121275.5787172,-0.0006
1738121275.5807195,-0.0729
1738121275.6972618,-0.0137
1738121275.6982584,-0.0022
1738121275.7002528,0.0075
1738121275.702257,-0.0463
1738121275.756901,0.0039
1738121275.7588859,0.0393
1738121275.760711,0.0423
1738121275.8168957,0.0343
1738121275.8188784,0.0581
1738121275.8208833,-0.0359
1738121275.8768978,-0.0166
1738121275.8789809,-0.0862
1738121275.8812895,-0.0204
1738121275.9357297,-0.0643
1738121275.9377353,0.2075
1738121275.9397342,0.0445
1738121275.99574,-0.0506
1738121275.9977407,-0.0312
1738121275.9997432,0.0559
1738121276.056504,0.0907
1738121276.0575004,0.234
1738121276.059495,0.0034
1738121276.1164935,-0.1758
1738121276.118498,-0.0611
1738121276.1205373,-0.0515
1738121276.1768932,-0.1472
1738121276.1789396,-0.0803
1738121276.1808946,-0.2963
1738121276.2362323,-0.4879
1738121276.2958875,-0.5257
1738121276.297891,-0.5534
1738121276.299365,-0.6637
1738121276.3561141,-0.6302
1738121276.3581226,-0.7149
1738121276.3601282,-0.809
1738121276.4156632,-0.6594
1738121276.4176722,-0.5972
1738121276.419672,-0.5189
1738121276.4765391,-0.6305
1738121276.4785402,-0.711
1738121276.4805377,-0.6426
1738121276.536102,-0.6374
1738121276.5381103,-0.7082
1738121276.5391142,-0.7687
1738121276.5961509,-0.8789
1738121276.5981457,-0.8085
1738121276.6001453,-0.8016
1738121276.657088,-0.8526
1738121276.6580968,-0.9235
1738121276.6605766,-0.8631
1738121276.7163196,-0.8143
1738121276.718314,-0.8105
1738121276.72032,-0.7933
1738121276.7768438,-0.6357
1738121276.7786849,-0.5477
1738121276.780694,-0.4443
1738121276.8364131,-0.5406
1738121276.8384116,-0.452
1738121276.8404114,-0.2433
1738121276.8963044,-0.1783
1738121276.8983064,-0.2615
1738121276.8993049,-0.3302
1738121276.9559553,-0.1426
1738121276.9579556,-0.124
1738121276.9599586,-0.1885
1738121277.0163226,-0.1539
1738121277.0183227,-0.2536
1738121277.0192769,-0.162
1738121277.0763826,-0.1396
1738121277.0783818,-0.2155
1738121277.1363711,-0.1295
1738121277.1383688,-0.217
1738121277.1403754,-0.0951
1738121277.1962473,-0.1949
1738121277.1982453,-0.0387
1738121277.1995194,-0.0121
1738121277.31669,0.0242
1738121277.3186352,0.1273
1738121277.3196356,0.2306
1738121277.3768187,0.0844
1738121277.378808,-0.0049
1738121277.3798451,-0.0662
1738121277.3819659,-0.0404
1738121277.4357755,-0.192
1738121277.4377785,-0.1841
1738121277.496047,-0.1566
1738121277.4980485,-0.1166
1738121277.4990444,-0.1905
1738121277.5568817,-0.2963
1738121277.558393,-0.3033
1738121277.5599442,-0.4739
1738121277.6164727,-0.5458
1738121277.6184697,-0.9083
1738121277.6204448,-1.1879
1738121277.67637,-1.2294
1738121277.6780832,-1.3753
1738121277.6801064,-1.5311
1738121277.7363994,-1.67
1738121277.7383575,-1.66
1738121277.7393801,-1.8044
1738121277.7969122,-1.8391
1738121277.7989168,-1.7327
1738121277.7999103,-1.7245
1738121277.855993,-1.6225
1738121277.857996,-1.4143
1738121277.8601415,-1.301
1738121277.9161832,-1.233
1738121277.9181833,-1.16
1738121277.9201882,-0.9735
1738121277.9771721,-0.7071
1738121277.9791753,-0.624
1738121277.9801753,-0.482
1738121278.0367696,-0.4943
1738121278.0377645,-0.284
1738121278.0397637,-0.2253
1738121278.0971024,-0.284
1738121278.0981388,-0.1735
1738121278.1001039,-0.0919
1738121278.1571372,-0.1465
1738121278.1581366,0.0053
1738121278.16033,-0.0594
1738121278.2169778,-0.0822
1738121278.2180138,-0.0386
1738121278.2199771,-0.0541
1738121278.2757545,-0.1611
1738121278.2777183,-0.1416
1738121278.2797177,-0.0972
1738121278.3360755,-0.1072
1738121278.3380919,-0.1167
1738121278.3400896,-0.1673
1738121278.3969803,-0.0788
1738121278.397977,-0.1046
1738121278.3999708,-0.0976
1738121278.4568095,-0.2008
1738121278.4578085,-0.3713
1738121278.4603305,-0.4848
1738121278.5161211,-0.6092
1738121278.549801,-0.9698
1738121278.5508375,-1.1319
1738121278.5771215,-1.3889
1738121278.5781214,-1.5555
1738121278.5802152,-1.524
1738121278.6365547,-1.8527
1738121278.6385438,-1.9611
1738121278.6405475,-2.0968
1738121278.6961508,-2.2016
1738121278.698116,-2.1939
1738121278.7001212,-2.111
1738121278.7561548,-1.5207
1738121278.7581568,-1.1203
1738121278.759663,-1.1662
1738121278.8170733,-0.4886
1738121278.8180714,-0.5674
1738121278.820089,-0.2996
1738121278.8769062,-0.2043
1738121278.8789077,-0.3451
1738121278.8804655,-0.0443
1738121278.9366684,0.1234
1738121278.9386692,-0.1323
1738121278.9396734,0.0419
1738121278.9966822,-0.2768
1738121278.9976878,-0.4322
1738121278.999684,-0.2867
1738121279.056896,-0.5328
1738121279.0588562,-0.6479
1738121279.060413,-0.9735
1738121279.1169093,-0.9095
1738121279.1189492,-0.9325
1738121279.1209056,-1.0767
1738121279.1766639,-1.2954
1738121279.17829,-1.343
1738121279.179286,-1.4429
1738121279.236352,-1.6509
1738121279.2383642,-2.019
1738121279.2401335,-2.2986
1738121279.2970488,-2.4244
1738121279.300002,-2.2793
1738121279.3019962,-1.6934
1738121279.356393,-0.905
1738121279.358436,-0.7972
1738121279.3603914,-0.6096
1738121279.416499,-0.514
1738121279.4184995,-0.0831
1738121279.4195042,-0.3379
1738121279.4770682,-0.5161
1738121279.4780736,-0.2224
1738121279.4800754,-0.6154
1738121279.5361874,-0.6601
1738121279.5381951,-1.289
1738121279.5401986,-2.002
1738121279.596346,-4.2606
1738121279.598316,-4.4534
1738121279.599316,-6.5902
1738121279.6564903,-8.2992
1738121279.6584978,-9.5833
1738121279.6604912,-11.1479
1738121279.7162616,-11.7286
1738121279.7182264,-14.0077
1738121279.7192378,-17.1418
1738121279.776279,-17.0503
1738121279.7782753,-17.9321
1738121279.7792761,-18.1887
1738121279.8368986,-19.3443
1738121279.8388925,-19.16
1738121279.8408945,-18.6528
1738121279.8969796,-17.2072
1738121279.8989418,-16.1188
1738121279.9009418,-15.3608
1738121279.9557395,-15.1667
1738121279.9577425,-13.918
1738121279.9597492,-12.7629
1738121280.0166397,-8.9606
1738121280.0186396,-8.3737
1738121280.0206435,-6.8659
1738121280.0769167,-6.0564
1738121280.0779822,-5.9384
1738121280.079992,-5.8142
1738121280.135935,-5.9115
1738121280.137936,-5.912
1738121280.1389353,-6.4917
1738121280.1963649,-8.3522
1738121280.198369,-8.8677
1738121280.1994023,-8.86
1738121280.2569625,-8.6873
1738121280.258993,-8.1521
