tMillis,ax,ay,az,gx,gy,gz
195602,0.045288086,0.016723633,1.022827148,0.7934569716453552,-0.24414061,0.2441406100988388
195619,0.044677734,0.017089844,1.024169922,0.8544921278953552,-0.305175781,0.2441406100988388
195635,0.044555664,0.016601563,1.022338867,0.8544921278953552,-0.305175781,0.2441406100988388
195652,0.045043945,0.015869141,1.023193359,0.8544921278953552,-0.24414061,0.2441406100988388
195668,0.044067383,0.01574707,1.024414063,0.7934569716453552,-0.183105454,0.2441406100988388
195719,0.044433594,0.015625,1.025146484,0.7934569716453552,-0.24414061,0.2441406100988388
195756,0.044799805,0.016845703,1.024291992,0.7934569716453552,-0.24414061,0.2441406100988388
195844,0.044433594,0.017211914,1.024414063,0.7934569716453552,-0.183105454,0.1831054538488388
195861,0.043945313,0.016357422,1.025024414,0.8544921278953552,-0.24414061,0.305175781
195894,0.044799805,0.017211914,1.024658203,0.7934569716453552,-0.24414061,0.1831054538488388
195915,0.044921875,0.015869141,1.023925781,0.7934569716453552,-0.305175781,0.2441406100988388
195931,0.045288086,0.016113281,1.025024414,0.7934569716453552,-0.305175781,0.2441406100988388
195951,0.044799805,0.015991211,1.024291992,0.8544921278953552,-0.24414061,0.2441406100988388
195973,0.044799805,0.016113281,1.023193359,0.8544921278953552,-0.24414061,0.1831054538488388
195989,0.044677734,0.016723633,1.023681641,0.8544921278953552,-0.183105454,0.1220703050494194
196008,0.044799805,0.017089844,1.024291992,0.8544921278953552,-0.24414061,0.1831054538488388
196074,0.043579102,0.016601563,1.025146484,0.7934569716453552,-0.24414061,0.2441406100988388
196146,0.044555664,0.017333984,1.024414063,0.7934569716453552,-0.305175781,0.1831054538488388
196163,0.044189453,0.016479492,1.023925781,0.7934569716453552,-0.305175781,0.2441406100988388
196199,0.044311523,0.015869141,1.0234375,0.8544921278953552,-0.24414061,0.305175781
196216,0.043945313,0.016357422,1.024536133,0.8544921278953552,-0.24414061,0.2441406100988388
196232,0.044311523,0.016723633,1.025024414,0.8544921278953552,-0.24414061,0.2441406100988388
196248,0.044799805,0.016479492,1.025268555,0.8544921278953552,-0.24414061,0.2441406100988388
196265,0.044555664,0.015258789,1.024780273,0.8544921278953552,-0.24414061,0.2441406100988388
196286,0.044189453,0.015991211,1.024169922,0.8544921278953552,-0.24414061,0.2441406100988388
196302,0.043945313,0.016601563,1.024414063,0.7934569716453552,-0.305175781,0.2441406100988388
196369,0.044433594,0.016723633,1.023071289,0.8544921278953552,-0.24414061,0.1831054538488388
196385,0.044799805,0.016357422,1.025024414,0.7934569716453552,-0.183105454,0.1220703050494194
196402,0.044921875,0.015869141,1.024414063,0.7934569716453552,-0.24414061,0.2441406100988388
196434,0.044921875,0.016235352,1.022338867,0.7934569716453552,-0.24414061,0.1831054538488388
196498,0.044555664,0.016601563,1.0234375,0.8544921278953552,-0.305175781,0.1831054538488388
196560,0.043823242,0.015625,1.024291992,0.8544921278953552,-0.305175781,0.2441406100988388
196577,0.043945313,0.016967773,1.024047852,0.9155272841453552,-0.24414061,0.1831054538488388
196610,0.043701172,0.016845703,1.023925781,0.8544921278953552,-0.24414061,0.305175781
196626,0.045410156,0.016967773,1.022705078,0.8544921278953552,-0.305175781,0.1831054538488388
196642,0.044677734,0.016723633,1.024414063,0.8544921278953552,-0.305175781,0.2441406100988388
196675,0.045410156,0.016113281,1.022094727,0.7934569716453552,-0.183105454,0.2441406100988388
196723,0.044067383,0.016113281,1.024780273,0.7934569716453552,-0.305175781,0.2441406100988388
196803,0.043823242,0.016601563,1.024902344,0.9155272841453552,-0.24414061,0.1831054538488388
196820,0.043945313,0.017456055,1.023925781,0.9155272841453552,-0.24414061,0.1831054538488388
196853,0.044311523,0.016845703,1.023071289,0.8544921278953552,-0.305175781,0.1831054538488388
196886,0.044799805,0.017089844,1.024658203,0.7934569716453552,-0.24414061,0.1831054538488388
196929,0.044921875,0.015380859,1.022216797,0.9155272841453552,-0.305175781,0.2441406100988388
196946,0.044189453,0.015380859,1.0234375,0.8544921278953552,-0.24414061,0.2441406100988388
196963,0.043579102,0.01574707,1.026367188,0.8544921278953552,-0.24414061,0.1831054538488388
197012,0.044799805,0.016235352,1.025024414,0.8544921278953552,-0.24414061,0.2441406100988388
197045,0.043701172,0.016723633,1.025390625,0.7324218153953552,-0.24414061,0.1831054538488388
197062,0.045043945,0.017456055,1.024414063,0.7934569716453552,-0.24414061,0.1831054538488388
197096,0.044677734,0.016479492,1.025146484,0.8544921278953552,-0.305175781,0.1831054538488388
197161,0.044433594,0.015991211,1.024536133,0.7934569716453552,-0.305175781,0.1831054538488388
197177,0.044433594,0.015625,1.024536133,0.8544921278953552,-0.305175781,0.1831054538488388
197210,0.045166016,0.016479492,1.024536133,0.7934569716453552,-0.183105454,0.305175781
197226,0.044921875,0.016845703,1.024902344,0.8544921278953552,-0.24414061,0.1831054538488388
197243,0.044799805,0.015991211,1.025146484,0.8544921278953552,-0.305175781,0.2441406100988388
197275,0.044189453,0.016967773,1.0234375,0.9155272841453552,-0.24414061,0.2441406100988388
197291,0.044067383,0.016845703,1.024780273,0.8544921278953552,-0.24414061,0.2441406100988388
197307,0.044189453,0.016845703,1.024169922,0.8544921278953552,-0.24414061,0.2441406100988388
197323,0.044799805,0.016235352,1.024047852,0.7934569716453552,-0.24414061,0.2441406100988388
197397,0.044433594,0.017700195,1.024169922,0.7934569716453552,-0.24414061,0.1831054538488388
197413,0.044433594,0.016967773,1.024536133,0.7934569716453552,-0.24414061,0.1831054538488388
197430,0.044799805,0.016601563,1.023803711,0.7934569716453552,-0.24414061,0.1831054538488388
197444,0.043945313,0.016357422,1.024169922,0.7934569716453552,-0.305175781,0.2441406100988388
197495,0.044067383,0.017333984,1.023925781,0.7934569716453552,-0.24414061,0.2441406100988388
197545,0.044067383,0.016845703,1.024169922,0.8544921278953552,-0.24414061,0.1831054538488388
197597,0.044677734,0.017944336,1.025634766,0.7934569716453552,-0.305175781,0.2441406100988388
197642,0.044921875,0.015869141,1.022338867,0.7934569716453552,-0.24414061,0.2441406100988388
197659,0.044433594,0.016723633,1.024536133,0.7934569716453552,-0.305175781,0.305175781
197692,0.044555664,0.016235352,1.027709961,0.8544921278953552,-0.305175781,0.1831054538488388
197726,0.04675293,0.017333984,1.060668945,0.9155272841453552,-0.305175781,0.2441406100988388
197844,0.04284668,0.017578125,1.024902344,0.7934569716453552,-0.183105454,0.1831054538488388
197957,0.044799805,0.016235352,1.024902344,0.8544921278953552,-0.305175781,0.2441406100988388
198002,0.044921875,0.016357422,1.025756836,0.8544921278953552,-0.24414061,0.1831054538488388
198019,0.044799805,0.015991211,1.028076172,0.8544921278953552,-0.305175781,0.2441406100988388
198052,0.044677734,0.015869141,1.024902344,0.7934569716453552,-0.24414061,0.2441406100988388
198069,0.044311523,0.016235352,1.025146484,0.7934569716453552,-0.305175781,0.2441406100988388
198085,0.044555664,0.016235352,1.021972656,0.8544921278953552,-0.24414061,0.2441406100988388
198102,0.043945313,0.016723633,1.025146484,0.8544921278953552,-0.305175781,0.1831054538488388
198122,0.044677734,0.017089844,1.024658203,0.8544921278953552,-0.305175781,0.1831054538488388
198144,0.044555664,0.017333984,1.02331543,0.8544921278953552,-0.24414061,0.1831054538488388
198160,0.044799805,0.016235352,1.024414063,0.7934569716453552,-0.24414061,0.1831054538488388
198177,0.044555664,0.016235352,1.02331543,0.7934569716453552,-0.24414061,0.2441406100988388
198194,0.043579102,0.015625,1.023071289,0.8544921278953552,-0.24414061,0.1831054538488388
198227,0.045410156,0.016235352,1.024780273,0.7934569716453552,-0.24414061,0.1831054538488388
198244,0.044921875,0.016967773,1.024780273,0.7934569716453552,-0.24414061,0.1831054538488388
198260,0.044555664,0.016479492,1.026245117,0.7934569716453552,-0.305175781,0.1831054538488388
198292,0.044067383,0.017333984,1.025878906,0.7934569716453552,-0.305175781,0.1831054538488388
198308,0.044067383,0.017089844,1.024658203,0.8544921278953552,-0.305175781,0.1831054538488388
198324,0.043579102,0.015625,1.022705078,0.8544921278953552,-0.24414061,0.2441406100988388
198360,0.043823242,0.016235352,1.024414063,0.8544921278953552,-0.305175781,0.2441406100988388
198376,0.043823242,0.016113281,1.024047852,0.7934569716453552,-0.24414061,0.1831054538488388
198392,0.044799805,0.016723633,1.023803711,0.8544921278953552,-0.305175781,0.1831054538488388
198408,0.044555664,0.017944336,1.024169922,0.8544921278953552,-0.305175781,0.2441406100988388
198425,0.044067383,0.016723633,1.02331543,0.8544921278953552,-0.24414061,0.2441406100988388
198446,0.044555664,0.016479492,1.022094727,0.8544921278953552,-0.305175781,0.2441406100988388
198462,0.044311523,0.016357422,1.024047852,0.8544921278953552,-0.305175781,0.2441406100988388
198479,0.043945313,0.016723633,1.024536133,0.8544921278953552,-0.24414061,0.305175781
198560,0.044311523,0.016357422,1.024658203,0.8544921278953552,-0.24414061,0.1831054538488388
