Timestamp,VerticalAccel_g
1738195488.8834531,-0.0287
1738195488.900966,-0.0299
1738195488.9201546,-0.0273
1738195488.9387884,0.0053
1738195488.9579775,-0.0117
1738195488.9762018,-0.0255
1738195488.9947243,-0.0123
1738195489.0132983,-0.014
1738195489.0332701,-0.0335
1738195489.0509863,0.0484
1738195489.069805,-0.0156
1738195489.089356,-0.0565
1738195489.1076958,-0.0188
1738195489.126033,0.0019
1738195489.14509,-0.0303
1738195489.1637862,-0.0306
1738195489.182723,0.0194
1738195489.2009778,0.0003
1738195489.2203846,-0.037
1738195489.221392,0.001
1738195489.2581666,-0.065
1738195489.2762587,-0.0112
1738195489.29541,-0.001
1738195489.296419,0.0129
1738195489.332288,-0.0675
1738195489.3511949,-0.0016
1738195489.3701658,-0.0182
1738195489.388751,-0.0129
1738195489.4076192,-0.0012
1738195489.426195,-0.006
1738195489.4457104,-0.0168
1738195489.4638503,-0.0377
1738195489.4826086,-0.0063
1738195489.501706,-0.0367
1738195489.519975,-0.0172
1738195489.5388684,-0.0179
1738195489.5576067,-0.0177
1738195489.576857,-0.0501
1738195489.5949936,-0.0008
1738195489.6137598,-0.0062
1738195489.6328142,-0.0244
1738195489.6509757,-0.0283
1738195489.6704204,-0.0238
1738195489.689651,0.0045
1738195489.7081108,0.0045
1738195489.7269084,-0.0112
1738195489.7457101,0.0121
1738195489.7641442,-0.0421
1738195489.7651584,-0.0276
1738195489.800878,-0.0121
1738195489.8206644,-0.0292
1738195489.8395298,-0.0126
1738195489.840528,-0.0135
1738195489.8585417,-0.0004
1738195489.895855,-0.0157
1738195489.9140902,-0.062
1738195489.91512,-0.012
1738195489.9332454,-0.0136
1738195489.951519,-0.0158
1738195489.9890373,-0.0001
1738195490.007612,-0.0144
1738195490.008613,-0.0471
1738195490.0259411,0.0211
1738195490.0450034,0.0234
1738195490.0825648,-0.0998
1738195490.100833,-0.0324
1738195490.10234,0.0906
1738195490.1208045,0.014
1738195490.1580436,-0.0633
1738195490.176519,-0.0425
1738195490.2138588,0.0255
1738195490.2148726,0.0121
1738195490.2158678,-0.0341
1738195490.3345838,-0.0048
1738195490.3355775,-0.0597
1738195490.3355775,-0.016
1738195490.393652,-0.031
1738195490.3946955,0.0124
1738195490.3956604,-0.0241
1738195490.4546025,-0.056
1738195490.4555979,-0.0399
