Timestamp,VerticalAccel_g
1738195279.1952,0.0217
1738195279.2319164,-0.004
1738195279.2319164,-0.0214
1738195279.25046,-0.008
1738195279.2695746,-0.0116
1738195279.287901,0.0068
1738195279.306983,-0.0135
1738195279.325661,-0.0072
1738195279.3443522,-0.0168
1738195279.3636465,0.0049
1738195279.381674,-0.017
1738195279.4008996,-0.0066
1738195279.4197602,0.0074
1738195279.457827,-0.0105
1738195279.458824,-0.0004
1738195279.4934464,-0.0229
1738195279.495457,-0.006
1738195279.5130332,0.0058
1738195279.5316424,-0.0136
1738195279.550457,-0.0004
1738195279.5885525,-0.0281
1738195279.5885525,-0.0237
1738195279.6253905,0.0067
1738195279.6263874,-0.0107
1738195279.6444292,-0.0024
1738195279.6638412,-0.0025
1738195279.68182,-0.0701
1738195279.700747,0.0484
1738195279.7195957,-0.0265
1738195279.7377806,-0.0499
1738195279.7760892,0.0038
1738195279.7767506,-0.0227
1738195279.7944343,0.0224
1738195279.8135223,-0.0156
1738195279.8506281,0.0454
1738195279.8515887,-0.0389
1738195279.9067845,-0.0721
1738195279.908744,0.0315
1738195279.9097402,-0.0147
1738195279.9259613,-0.013
1738195279.9450045,0.0049
1738195279.964174,-0.0112
1738195279.9651766,-0.0359
1738195280.0007553,0.0076
1738195280.0197096,-0.0088
1738195280.03739,-0.0007
1738195280.0577145,-0.0244
1738195280.076202,-0.0216
1738195280.0942903,-0.0213
1738195280.1138673,0.0182
1738195280.150134,0.0171
1738195280.1511068,-0.0364
1738195280.1688244,0.0059
1738195280.1885417,-0.0124
1738195280.2069662,-0.0477
1738195280.225729,0.022
1738195280.244438,0.0052
1738195280.2641664,-0.0244
1738195280.2822287,-0.0087
1738195280.2999058,-0.0165
1738195280.3190756,0.0029
1738195280.356491,-0.0129
1738195280.3943186,-0.0052
1738195280.3943186,-0.0081
1738195280.3958294,-0.0497
1738195280.413881,0.0193
1738195280.4315126,-0.0073
1738195280.4505496,-0.0203
1738195280.5285208,0.0156
1738195280.5300345,-0.0253
1738195280.5310495,-0.0216
