Timestamp,VerticalAccel_g
1738194896.599749,-0.0011
1738194896.6191604,-0.0097
1738194896.6568081,0.0073
1738194896.6568081,-0.0129
1738194896.6750033,-0.0106
1738194896.6933813,-0.0122
1738194896.713058,-0.0465
1738194896.7493248,0.0284
1738194896.7503345,-0.0236
1738194896.76855,-0.02
1738194896.8068182,0.0321
1738194896.808331,-0.0278
1738194896.8246102,-0.0069
1738194896.8440895,0.0172
1738194896.8629382,-0.0171
1738194896.8817055,-0.0232
1738194896.8994896,-0.0061
1738194896.9183884,-0.0166
1738194896.9371269,-0.0143
1738194896.9567556,0.0094
1738194896.9755995,-0.0117
1738194896.9944348,-0.0238
1738194897.0135725,0.0052
1738194897.0313966,-0.0128
1738194897.0686646,-0.024
1738194897.0696766,-0.0161
1738194897.1059036,0.0105
1738194897.1069033,-0.0104
1738194897.1246586,-0.0242
1738194897.1441011,0.014
1738194897.1450875,-0.0134
1738194897.1813648,-0.0343
1738194897.1995435,-0.0136
1738194897.2187293,0.011
1738194897.2559423,-0.0256
1738194897.2568953,-0.0069
1738194897.2945035,0.0063
1738194897.2955382,-0.0102
1738194897.2965143,-0.0234
1738194897.3314679,0.0068
1738194897.3496706,-0.0357
1738194897.3868623,0.0113
1738194897.3883705,-0.024
1738194897.4064353,0.0067
1738194897.4251056,-0.0124
1738194897.4447994,-0.0248
1738194897.462566,-0.0046
1738194897.4806857,0.0053
1738194897.518348,0.0018
1738194897.5193617,-0.0284
1738194897.5375822,0.0097
1738194897.556927,-0.0472
1738194897.5752916,-0.0076
1738194897.5942185,0.0074
1738194897.6130643,-0.0239
1738194897.6319098,0.0066
1738194897.6695337,-0.0354
1738194897.6705465,-0.0183
1738194897.6871371,-0.0131
1738194897.7054644,0.0294
1738194897.7246208,-0.0262
1738194897.743634,0.0061
1738194897.7624195,-0.0486
1738194897.7993734,-0.0229
1738194897.8003776,0.0459
1738194897.8182116,-0.0232
1738194897.8374453,-0.0427
1738194897.893772,0.0316
1738194897.894774,0.0192
1738194897.9540823,-0.0295
1738194897.955041,-0.0265
1738194897.9560432,0.0059
1738194898.013243,-0.0177
1738194898.0142539,-0.025
1738194898.015254,-0.0065
