Timestamp,VerticalAccel_g
1738121067.8726387,-0.0173
1738121067.8903155,-0.0345
1738121067.908853,-0.0171
1738121067.9279587,-0.0024
1738121067.946899,-0.0056
1738121067.9646926,-0.0375
1738121067.9837003,-0.07
1738121068.00374,-0.0384
1738121068.021507,-0.0182
1738121068.0595884,-0.0166
1738121068.061486,-0.0654
1738121068.0777209,-0.0677
1738121068.096201,0.0185
1738121068.115602,-0.0002
1738121068.1344814,-0.0699
1738121068.1532586,0.0318
1738121068.1714354,-0.0692
1738121068.1904137,0.0939
1738121068.2094169,-0.0715
1738121068.2285495,-0.1011
1738121068.2470694,-0.0027
1738121068.283914,-0.0549
1738121068.2859185,0.0118
1738121068.3028047,-0.0087
1738121068.3219612,-0.0259
1738121068.3404918,-0.0532
1738121068.358811,-0.0014
1738121068.3774774,-0.0429
1738121068.3965347,-0.0574
1738121068.414717,-0.0353
1738121068.433939,0.0445
1738121068.4359398,0.0061
1738121068.4717114,-0.0455
1738121068.4907053,-0.1059
1738121068.5094101,0.0085
1738121068.510919,0.024
1738121068.5274293,-0.0397
1738121068.5843642,-0.0352
1738121068.5854006,-0.0421
1738121068.6027496,-0.0282
1738121068.622063,-0.0543
1738121068.6405902,0.0478
1738121068.6596804,0.017
1738121068.6774278,-0.0656
1738121068.7157965,0.0242
1738121068.7177994,-0.0724
1738121068.7343435,0.0479
1738121068.7532754,-0.0554
1738121068.790645,-0.026
1738121068.792154,-0.038
1738121068.8093824,0.0183
1738121068.8280735,-0.0012
1738121068.846862,-0.0187
1738121068.8655179,-0.0192
1738121068.8841767,-0.0184
1738121068.9022048,0.0448
1738121068.9221451,-0.0094
1738121068.9404476,-0.0888
1738121068.9773343,-0.1025
1738121068.979333,0.0609
1738121068.9967139,0.0105
1738121069.0151806,-0.0172
1738121069.0337954,-0.0429
1738121069.0522876,-0.0271
1738121069.0719745,-0.0034
1738121069.089655,0.0315
1738121069.1094437,-0.052
1738121069.1470516,-0.0336
1738121069.1485279,-0.0298
1738121069.1655395,0.0529
1738121069.2037559,-0.068
1738121069.2057536,-0.0379
1738121069.2077582,0.0455
1738121069.2745838,-0.0642
1738121069.2765822,0.0388
1738121069.2785861,-0.0796
1738121069.3345418,0.0365
1738121069.336544,-0.037
1738121069.3375807,-0.0436
1738121069.3946779,-0.0721
1738121069.3996782,0.0831
1738121069.4011884,-0.0027
1738121069.453546,-0.0856
1738121069.456075,-0.0067
1738121069.458092,-0.0105
1738121069.5140827,-0.039
1738121069.5160816,-0.0342
1738121069.5170817,-0.0957
1738121069.5738776,0.0236
1738121069.5758872,0.0021
1738121069.5778856,0.2595
1738121069.6340985,0.2629
1738121069.635129,0.0347
1738121069.6370933,-0.1782
1738121069.6937673,-0.0295
1738121069.6958654,0.111
1738121069.6974957,-0.0027
1738121069.7540662,0.0489
1738121069.7562678,-0.0581
1738121069.7573106,0.0174
1738121069.8146067,-0.0196
1738121069.8156466,-0.0024
1738121069.8175347,-0.0355
1738121069.8738294,-0.0317
1738121069.8758354,0.0861
1738121069.8778398,-0.1015
1738121069.9338715,-0.043
1738121069.9358804,-0.0369
1738121069.93688,0.0385
1738121069.994004,0.0319
1738121069.99602,0.0277
1738121069.9976492,0.0781
1738121070.0541437,-0.4464
1738121070.055177,0.212
1738121070.057146,0.0567
